  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.138 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   72.14.213.138    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.102 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.138 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   72.14.213.102    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.102 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.102 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.102 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   72.14.213.102    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
  IP,   TCP,   src:   72.14.213.102    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.102 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   72.14.213.102    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.147 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   72.14.213.147    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.147 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   192.168.3.131    dst:   72.14.213.147 ,  sport:       6656  dport:       5516  ether type: 2048
  IP,   TCP,   src:   72.14.213.147    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
  IP,   TCP,   src:   72.14.213.147    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
  IP,   TCP,   src:   72.14.213.147    dst:   192.168.3.131 ,  sport:      24896  dport:      39558  ether type: 2048
